	Arthur Conan Doyle	C. S. Lewis	Suzanne Collins	J.K. Rowling	Frank Herbert	Douglas Adams	Charles Dickens	Charles Dickens	Stieg Larsson	Orson Scott Card	J.K. Rowling	Jane Austen	Church of Jesus Christ of Latter	C. S. Lewis	Orson Scott Card	Douglas Adams	William Shakespeare	Frank Herbert
	the hound of the baskervilles	Prince Caspian	Catching Fire	Harry Potter and the Deathly Hallows (7)	Dune 02 Dune Messiah	Hitchhiker 02 The Restaurant at the End of the Universe	great expectations	a tale of two cities	The Girl Who Played with Fire	Children of the Mind	Harry Potter and the Chamber of Secrets (2)	pride and prejudice	day Saints the book of mormon	Magician's Nephew, The	Speaker for the Dead	Hitchhiker 05 Mostly Harmless	the taming of the shrew	Dune 05 Heretics of Dune
0	('Anne Brontë', 'the tenant of wildfell hall', 0.985)	('Charles Dickens', 'oliver twist', 0.71)	('Ben Winter', 'Underground Airlines', 0.997)	('Anne Tyler', 'A Spool of Blue Thread', 0.973)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.968)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.974)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.985)	('Ben Ryder Howe', 'My Korean Deli_ Risking It All_ore (v5.0)', 0.98)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.993)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.956)	('Charles A. (Charles Arthur) Conant', 'alexander hamilton', 0.949)	('Charles A. (Charles Arthur) Conant', 'alexander hamilton', 0.986)	('Charles Dickens', 'oliver twist', 0.847)	('Anne Tyler', 'A Spool of Blue Thread', 0.973)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.992)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.985)	('Andy Weir', 'Artemis', 0.957)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.991)
1	('Andy Weir', 'Artemis', 0.928)	('A. E. W. (Alfred Edward Woodley) Mason', 'the summons', 0.703)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.996)	('Chad Harbach', 'The Art of Fielding', 0.967)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.952)	('Blake Crouch', 'Dark Matter', 0.969)	('Andy Weir', 'Artemis', 0.973)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.937)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.992)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.946)	('A. E. W. (Alfred Edward Woodley) Mason', 'the summons', 0.935)	('Ben Jonson', 'the alchemist', 0.957)	('Ben Jonson', 'the alchemist', 0.838)	('Chad Harbach', 'The Art of Fielding', 0.969)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.987)	('A.J. Finn', 'The Woman in the Window', 0.978)	('Christina Kline', 'Orphan Train', 0.95)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.979)
2	('Christina Kline', 'Orphan Train', 0.911)	('Anthony Pryde', 'nightfall', 0.7)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.993)	('A. E. W. (Alfred Edward Woodley) Mason', 'the summons', 0.965)	('Ben Winter', 'Underground Airlines', 0.947)	('A.J. Finn', 'The Woman in the Window', 0.968)	('A.J. Finn', 'The Woman in the Window', 0.972)	('Christina Kline', 'Orphan Train', 0.93)	('Ben Winter', 'Underground Airlines', 0.989)	('A.J. Finn', 'The Woman in the Window', 0.942)	('Anne Tyler', 'A Spool of Blue Thread', 0.93)	('Charles Dickens', 'little dorrit', 0.954)	('Anthony Pryde', 'nightfall', 0.837)	('Anthony Pryde', 'nightfall', 0.967)	('Ben Winter', 'Underground Airlines', 0.979)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.973)	('Ben Winter', 'Underground Airlines', 0.943)	('A.J. Finn', 'The Woman in the Window', 0.975)
3	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.911)	('Anne Tyler', 'A Spool of Blue Thread', 0.686)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.99)	('Ben Jonson', 'the alchemist', 0.959)	('Christina Kline', 'Orphan Train', 0.947)	('Aziz Ansari', 'Modern Romance', 0.957)	('Christina Kline', 'Orphan Train', 0.972)	('Andy Weir', 'Artemis', 0.928)	('A.J. Finn', 'The Woman in the Window', 0.987)	('Ben Winter', 'Underground Airlines', 0.942)	('Anthony Pryde', 'nightfall', 0.929)	('Chad Harbach', 'The Art of Fielding', 0.945)	('Amor Towles', 'A Gentleman in Moscow', 0.825)	('A. E. W. (Alfred Edward Woodley) Mason', 'the summons', 0.965)	('A.J. Finn', 'The Woman in the Window', 0.976)	('Ben Winter', 'Underground Airlines', 0.967)	('Cheryl Strayed', 'Wild_ From Lost to Found on the Pacific Crest Trail', 0.943)	('Ben Winter', 'Underground Airlines', 0.975)
4	('Ben Ryder Howe', 'My Korean Deli_ Risking It All_ore (v5.0)', 0.902)	('Aristophanes', 'lysistrata', 0.677)	('A.J. Finn', 'The Woman in the Window', 0.987)	('Anton Pavlovich Chekhov', 'the seagull', 0.958)	('A.J. Finn', 'The Woman in the Window', 0.943)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.951)	('Ben Winter', 'Underground Airlines', 0.971)	('Anne Brontë', 'the tenant of wildfell hall', 0.925)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.983)	('Christina Kline', 'Orphan Train', 0.94)	('Chad Harbach', 'The Art of Fielding', 0.923)	('Amor Towles', 'A Gentleman in Moscow', 0.942)	('Chad Harbach', 'The Art of Fielding', 0.815)	('Ben Jonson', 'the alchemist', 0.964)	('Christina Kline', 'Orphan Train', 0.974)	('Aziz Ansari', 'Modern Romance', 0.965)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.94)	('Christina Kline', 'Orphan Train', 0.975)
5	('Ben Winter', 'Underground Airlines', 0.901)	('Chad Harbach', 'The Art of Fielding', 0.675)	('Charlotte Brontë', 'the professor', 0.98)	('Anthony Pryde', 'nightfall', 0.957)	('Andy Weir', 'Artemis', 0.94)	('Christina Kline', 'Orphan Train', 0.951)	('Ben Ryder Howe', 'My Korean Deli_ Risking It All_ore (v5.0)', 0.968)	('A.J. Finn', 'The Woman in the Window', 0.913)	('Charlotte Brontë', 'the professor', 0.975)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.936)	('Ben Jonson', 'the alchemist', 0.919)	('Anthony Pryde', 'nightfall', 0.941)	('Charles Dickens', 'little dorrit', 0.807)	('Coningsby Dawson', 'the little house', 0.96)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.972)	('Blake Crouch', 'Dark Matter', 0.965)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.928)	('Andy Weir', 'Artemis', 0.971)
6	('A.J. Finn', 'The Woman in the Window', 0.895)	('Coningsby Dawson', 'the little house', 0.672)	('Andy Weir', 'Artemis', 0.98)	('Coningsby Dawson', 'the little house', 0.956)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.939)	('Andy Weir', 'Artemis', 0.949)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.967)	('Ben Winter', 'Underground Airlines', 0.902)	('Andy Weir', 'Artemis', 0.974)	('Andy Weir', 'Artemis', 0.936)	('Anton Pavlovich Chekhov', 'the seagull', 0.912)	('Chloe Benjamin', 'The Immortalists', 0.938)	('Charles A. (Charles Arthur) Conant', 'alexander hamilton', 0.804)	('Anton Pavlovich Chekhov', 'the seagull', 0.957)	('Andy Weir', 'Artemis', 0.969)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.964)	('A.J. Finn', 'The Woman in the Window', 0.928)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.967)
7	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.893)	('Charles A. (Charles Arthur) Conant', 'alexander hamilton', 0.67)	('Christina Kline', 'Orphan Train', 0.977)	('Charles Dickens', 'oliver twist', 0.948)	('Charlotte Brontë', 'the professor', 0.936)	('Ben Winter', 'Underground Airlines', 0.948)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.961)	('Atul Gawande', 'Being Mortal_Medicine and What Matters in the End', 0.901)	('Christina Kline', 'Orphan Train', 0.974)	('Blake Crouch', 'Dark Matter', 0.929)	('Coningsby Dawson', 'the little house', 0.911)	('Charles Dickens', 'oliver twist', 0.937)	('Chloe Benjamin', 'The Immortalists', 0.795)	('Charles Dickens', 'oliver twist', 0.954)	('Charlotte Brontë', 'the professor', 0.965)	('Christina Kline', 'Orphan Train', 0.961)	('Charlotte Brontë', 'the professor', 0.926)	('Charlotte Brontë', 'the professor', 0.964)
8	('Charlotte Brontë', 'the professor', 0.886)	('Ben Jonson', 'the alchemist', 0.67)	('Angie Thomas', 'The Hate U Give', 0.97)	('Aristophanes', 'lysistrata', 0.947)	('Anne Brontë', 'the tenant of wildfell hall', 0.925)	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.947)	('Anne Brontë', 'the tenant of wildfell hall', 0.96)	('Blake Crouch', 'Dark Matter', 0.896)	('Angie Thomas', 'The Hate U Give', 0.969)	('Aziz Ansari', 'Modern Romance', 0.928)	('Charles Dickens', 'oliver twist', 0.904)	('Anne Tyler', 'A Spool of Blue Thread', 0.933)	('Coningsby Dawson', 'the little house', 0.794)	('Aristophanes', 'lysistrata', 0.95)	('Aziz Ansari', 'Modern Romance', 0.961)	('Andy Weir', 'Artemis', 0.958)	('Anne Brontë', 'the tenant of wildfell hall', 0.926)	('Blake Crouch', 'Dark Matter', 0.96)
9	('Ben Horowitz', 'The Hard Thing About Hard Thing', 0.88)	('Anton Pavlovich Chekhov', 'the seagull', 0.664)	('Blake Crouch', 'Dark Matter', 0.958)	('Celeste Ng', 'Little Fires Everywhere', 0.945)	('Aziz Ansari', 'Modern Romance', 0.924)	('Ben Ryder Howe', 'My Korean Deli_ Risking It All_ore (v5.0)', 0.941)	('Blake Crouch', 'Dark Matter', 0.958)	('Charlotte Brontë', 'the professor', 0.893)	('Aziz Ansari', 'Modern Romance', 0.96)	('Charlotte Brontë', 'the professor', 0.928)	('Aristophanes', 'lysistrata', 0.901)	('Cleopatra_ A Life', 'Stacy Schiff', 0.922)	('Anne Tyler', 'A Spool of Blue Thread', 0.793)	('Charles A. (Charles Arthur) Conant', 'alexander hamilton', 0.947)	('Angie Thomas', 'The Hate U Give', 0.953)	('Charlotte Brontë', 'the professor', 0.955)	('Angie Thomas', 'The Hate U Give', 0.905)	('Aziz Ansari', 'Modern Romance', 0.956)
